,# Triangles,Avg. Triangle Size,Image Resolution,CPUs,Raster Mode,HOM Enabled,Runtime (ms)
516,2048,1e-06,256,4,0,0,235.394
517,2048,1e-06,256,4,0,1,271.579
518,2048,1e-06,256,4,1,0,0.138402
519,2048,1e-06,256,4,1,1,97.042
520,2048,1e-06,256,4,2,0,0.180343
521,2048,1e-06,256,4,2,1,76.369
522,2048,1e-06,256,8,0,0,145.68
523,2048,1e-06,256,8,0,1,201.315
524,2048,1e-06,256,8,1,0,0.262491
525,2048,1e-06,256,8,1,1,56.5756
526,2048,1e-06,256,8,2,0,0.263619
527,2048,1e-06,256,8,2,1,56.1652
528,2048,1e-06,256,16,0,0,77.7069
529,2048,1e-06,256,16,0,1,97.6801
530,2048,1e-06,256,16,1,0,0.409782
531,2048,1e-06,256,16,1,1,44.7059
532,2048,1e-06,256,16,2,0,0.386402
533,2048,1e-06,256,16,2,1,44.1354
534,2048,1e-06,256,32,0,0,74.878
535,2048,1e-06,256,32,0,1,97.6953
536,2048,1e-06,256,32,1,0,2.67004
537,2048,1e-06,256,32,1,1,42.1262
538,2048,1e-06,256,32,2,0,2.84003
539,2048,1e-06,256,32,2,1,40.303
540,2048,1e-06,256,64,0,0,62.8362
541,2048,1e-06,256,64,0,1,90.3188
542,2048,1e-06,256,64,1,0,9.01442
543,2048,1e-06,256,64,1,1,66.2181
544,2048,1e-06,256,64,2,0,8.26594
545,2048,1e-06,256,64,2,1,64.9028
546,2048,1e-06,512,1,0,0,2827.92
547,2048,1e-06,512,1,0,1,3054.46
548,2048,1e-06,512,1,1,0,0.118353
549,2048,1e-06,512,1,1,1,155.569
550,2048,1e-06,512,1,2,0,0.107761
551,2048,1e-06,512,1,2,1,188.646
552,2048,1e-06,512,2,0,0,1496.42
553,2048,1e-06,512,2,0,1,1610.03
554,2048,1e-06,512,2,1,0,0.271585
555,2048,1e-06,512,2,1,1,155.112
556,2048,1e-06,512,2,2,0,0.226408
557,2048,1e-06,512,2,2,1,137.766
558,2048,1e-06,512,4,0,0,844.819
559,2048,1e-06,512,4,0,1,909.529
560,2048,1e-06,512,4,1,0,0.208426
561,2048,1e-06,512,4,1,1,76.2457
562,2048,1e-06,512,4,2,0,0.187252
563,2048,1e-06,512,4,2,1,91.0816
564,2048,1e-06,512,8,0,0,470.888
565,2048,1e-06,512,8,0,1,519.203
566,2048,1e-06,512,8,1,0,0.290595
567,2048,1e-06,512,8,1,1,55.9217
568,2048,1e-06,512,8,2,0,0.289859
569,2048,1e-06,512,8,2,1,54.9752
570,2048,1e-06,512,16,0,0,259.319
571,2048,1e-06,512,16,0,1,273.038
572,2048,1e-06,512,16,1,0,0.441913
573,2048,1e-06,512,16,1,1,42.7945
574,2048,1e-06,512,16,2,0,0.43248
575,2048,1e-06,512,16,2,1,41.9989
576,2048,1e-06,512,32,0,0,238.965
577,2048,1e-06,512,32,0,1,266.978
578,2048,1e-06,512,32,1,0,4.36745
579,2048,1e-06,512,32,1,1,43.114
580,2048,1e-06,512,32,2,0,4.15631
581,2048,1e-06,512,32,2,1,44.7276
582,2048,1e-06,512,64,0,0,173.243
583,2048,1e-06,512,64,0,1,210.725
584,2048,1e-06,512,64,1,0,14.5001
585,2048,1e-06,512,64,1,1,87.1393
586,2048,1e-06,512,64,2,0,12.7801
587,2048,1e-06,512,64,2,1,93.523
588,2048,1e-06,1024,1,0,0,11337.9
589,2048,1e-06,1024,1,0,1,11482.1
590,2048,1e-06,1024,1,1,0,0.374657
591,2048,1e-06,1024,1,1,1,172.975
592,2048,1e-06,1024,1,2,0,0.323751
593,2048,1e-06,1024,1,2,1,150.522
594,2048,1e-06,1024,2,0,0,5694.35
595,2048,1e-06,1024,2,0,1,5932.18
596,2048,1e-06,1024,2,1,0,0.536589
597,2048,1e-06,1024,2,1,1,151.536
598,2048,1e-06,1024,2,2,0,0.471644
599,2048,1e-06,1024,2,2,1,122.723
600,2048,1e-06,1024,4,0,0,2950.66
601,2048,1e-06,1024,4,0,1,3179.88
602,2048,1e-06,1024,4,1,0,0.385511
603,2048,1e-06,1024,4,1,1,94.5298
604,2048,1e-06,1024,4,2,0,0.368533
605,2048,1e-06,1024,4,2,1,94.2936
606,2048,1e-06,1024,8,0,0,1701.53
607,2048,1e-06,1024,8,0,1,1896.85
608,2048,1e-06,1024,8,1,0,0.443726
